id,comment_id,revision_id,parent_revision,file_name,line_number,review_comment,comment_group
0,9fdfeff1_719b5072,44230773a53a10867d1485d2e8937b7a3510fae8,6efa3861a5a829ba5883ff191e2552b063028bb0,nova/scheduler/client/report.py,1686,"...and this make for an exception of mixed languages when translated.

Marking these with _() would improve the situation. That's ""message composition"" which is generally also a no-no. But the alternative is making separate explicit full messages for every path, and I don't think we need to go that far.",FUNCTION
1,9fdfeff1_0a1eeaba,ccc6ae9e649840e6b3e654a71f3b77103e6e5de2,b05d0b30b38a71a6b4ab607e2c6a2e8d5b97d629,nova/pci/request.py,50,"this import isn't needed. Below, simply do:

 inst_compute_node = objects.ComputeNode.get_by_host_and_nodename(...)",FUNCTION
2,3f79a3b5_ce50a40b,b5f5da43032f1d7c4e57c2aa6ab3da526d03bf51,3b2e42f37152a539472782ad1d71c1f951c0343b,nova/compute/api.py,741,these changes not needed,EVOLVE
3,5fc1f717_40e4dc3c,3a2ffb73bdfd231a3fdc50964fec72073ced7a06,b5df2d428e9b4da1b0736ead2b98c320005e8287,nova/tests/unit/privsep/test_path.py,60,"with three *different* things called mock_open, this test case is tough to follow. It simplifies to:

    @mock.patch('os.path.exists', return_value=True)
    def test_write(self, mock_exists):
        mock_open = mock.mock_open()
        with mock.patch.object(six.moves.builtins, 'open',
                               new=mock_open):
            nova.privsep.path.writefile('/fake/path/file', 'w', 'foo')

            mock_exists.assert_called_with('/fake/path')
            self.assertTrue(mock.call('/fake/path/file', 'w') in
                            mock_open.mock_calls)
        mock_open.return_value.write.assert_called_with('foo')

...which, if not crystal clear, is at least somewhat more comprehensible.",FUNCTION
4,9fdfeff1_233726b3,ecd0d0c3572f77b844e5dd9657204d23ada12318,b0eb4c5f8c7768b2c5cefdb6c5b3e8688f65b1ba,nova/conf/api.py,323,"This is presumptive and we have to make sure we update it, right? I would tend to put this in the patch that adds the microversion because that's the first place it can be hit...",EVOLVE
5,9fdfeff1_4532aaf4,31fe7c76009e1c6d7859036e44b057d081b059b5,727b942a88a812afb7368b4d7d3c314a4f8554ed,nova/api/openstack/compute/instance_actions.py,185,ok this seams resonable,DISCUSS
6,5fc1f717_fd2718c6,092f71a38a9caa57c3f1c7356f469c6fb8de57c4,f853e04cd22acc36c906ffb29084160fa05d1ebd,nova/tests/functional/test_servers.py,6725,...though in this case it seems like we ought to be able to access self.conductor.manager.compute_task_mgr (you would have to expose the result of start_service('conductor') in ProviderUsageBaseTestCase).,FUNCTION
7,9fdfeff1_d777d907,4f29c45b827160b9cee8604ac3dd4f87af373e78,34e595f2a7ac1cd16ea13d0e3a14899b89f94998,nova/tests/unit/api/openstack/compute/test_serversV21.py,3501,good to add a case for sg not existed,FUNCTION
8,9fdfeff1_127753a2,65910122ef5d66d6804c3138f16f7e989be162ee,1a5ba01451f59220d38c701184183d31d6bc9126,nova/objects/instance_mapping.py,251,maybe this is why its on infinite loop ? we just ignore the updation of those mappings though we count them as migrated and they keep appearing in the next run ?,FUNCTION
9,9fdfeff1_13a430a2,131e37c61b699e555e8c7dff225e27b89ca3b4cf,29f9febba714e1e331ecbdbc077606603dfc3ca5,nova/network/neutronv2/api.py,1732,You can break the loop once you've found the matching VIF from the cache.,FUNCTION
10,9fdfeff1_f3dc3f75,c7413d9bf533397ee7f02e94baf3820dc4724644,55f455262144ab319a9ff480850aeece88b1dedb,nova/tests/fixtures.py,1381,"nit: I don't think this needs to be magic, particularly as you're providing a spec.",FUNCTION
11,9fdfeff1_7b488f86,366be87bca5622fce10cedbb518bdbfcd602a7ea,220251f3eb85779165ecb86f9ae30058ba4c091e,nova/tests/unit/privsep/test_linux_net.py,17,nit: This blank line is not necessary.,EVOLVE
12,5fc1f717_7133cb63,6466a0f8adc5ea3ace8adc9de4fced8ff7ab7e81,a760f99d22a52d59119575660b84b7d506b67c5d,nova/tests/unit/privsep/test_fs.py,145,nit: I think you can decorate the class with this and avoid having to duplicate it everywhere,EVOLVE
13,9fdfeff1_916fd45e,44230773a53a10867d1485d2e8937b7a3510fae8,6efa3861a5a829ba5883ff191e2552b063028bb0,nova/scheduler/client/report.py,1741,ick,FUNCTION
14,bfdaf3ff_433fdd24,661dd591c94a9203c1a63e17789b83539a364527,84d94171d93a89af9fc71f6a326a988842c64d5e,nova/conductor/tasks/live_migrate.py,353,Better,DISCUSS
15,9fdfeff1_7e15819b,cd20ca77655f2d79776f4db165d03be941ac024f,6e8a69daf14a15fe0b0633f21f4112f19487e9da,nova/api/openstack/compute/views/servers.py,293,"Now this seems wierd, if a server could only belong to one server_group(which seems to be the case), we should name this ``server_group``, and it doesn't need to be a list, and you should probably change also your spec https://review.openstack.org/#/c/612255/13/specs/stein/approved/show-server-group.rst@66

if it can belong to serveral groups, then it should be named as ``server_groups`` and have to be a list, but you don't need this key as ``uuid`` and a dict of uuids as value, just the group list is OK",FUNCTION
16,9fdfeff1_de1c3279,47163c365bd986cddd8a9f87abcc1db590a01573,e3c24da89aa3e6462f1b07e00659c87f252ba4ba,nova/tests/unit/virt/xenapi/test_xenapi.py,3588,"Any reason you couldn't create an instance of 'objects.XenapiLiveMigrateData' here too, as is done in the below test. Possible cleanup",FALSE
17,5fc1f717_91cddc5e,c49813ccfb1e50d4973dd79038fb32ee3c8c1b5e,a2d7ffba32585cce3da2212edc026be66d4ede66,nova/compute/manager.py,6723,#ERROR!,DISCUSS
18,3f79a3b5_8679ac82,4eb512aa15f9f80322b2889dfdafaab1b08da7c0,aceef76e03374501811e58d6c2f108c4a5ffddf1,nova/tests/functional/regressions/test_bug_1550919.py,75,same,DISCUSS
19,5fc1f717_ce48df5d,e438b926202b1b13f9a04dbf16551cdb0e8ae566,95501d6f7876a9c218351d4e418e3f9779cca46d,nova/tests/unit/privsep/test_libvirt.py,39,"Python 3 test fails. So it should be ""b'I am a fish'"".",FUNCTION
20,9fdfeff1_f710225c,a3dc1ac8b25e4ab1daf9216b234ed29b3955d56d,727b942a88a812afb7368b4d7d3c314a4f8554ed,nova/tests/functional/test_servers.py,6371,++,DISCUSS
21,9fdfeff1_2fabcad7,7143131c8b1ae0c68060d16df45c6a877422d167,727b942a88a812afb7368b4d7d3c314a4f8554ed,nova/tests/unit/virt/libvirt/test_driver.py,15198,"parent_ifname may have made more sense, given the existing fields here",EVOLVE
22,3f79a3b5_c90a3acf,67fed7cc2d42e611e278b4a09fb0887ae8314aa4,08f3ae960623c94bdd997cacb3e81f04b4bbba69,nova/tests/functional/db/test_compute_node.py,143,"nit: since there is only one test calling this, I'd just merge it into the test itself.",EVOLVE
23,9fdfeff1_ab31ed5b,7143131c8b1ae0c68060d16df45c6a877422d167,727b942a88a812afb7368b4d7d3c314a4f8554ed,nova/compute/manager.py,2146,yaaaaay another upcall to Placement...,FALSE
24,9fdfeff1_69a072f5,bf22574eaffeb0337c2bf5b184ceed2982208e6a,8f38da3bf7ecae8a78888a2e64b90e5011c59d20,nova/tests/unit/virt/libvirt/volume/test_scaleio.py,26,"Not sure if there's any value in this anymore, since we do this below. Drop it",EVOLVE
25,9fdfeff1_2fa0c942,ffd81eb107dd04d05f828e9e049320412c576e1b,a8c065dea946599a1b07d003cd21409c4cd58df0,nova/tests/unit/matchers.py,384,Since you removed __enter__ and __exit__ is this still used as a context manager though?,DISCUSS
26,9fdfeff1_e1d1ff58,87f4b2365837fc97175bcdefa2499ea23d92c948,0c8824b44d2f841d610296893f9a316f4f083d43,nova/api/openstack/compute/views/servers.py,99,"So, if we get here and they didn't use 2.68, but we get an instance without display_name in it, we will continue to L110 and then explode right?

Presumably the cell_down_support should all match up with what we passed down to the lower layers such that we never get here where cell_down_support=False and ""'display_name' not instance=True"". However, seems like since we have the potential to be out of sync, we should do something here to prevent us from getting to L110, or even worse, getting to L110 and returning the instance with display_name=None or something, right?

So maybe change this to:

 if ""display_name"" not in instance:
     if cell_down_support:
         return { .. }
     else:
         LOG.warning('Tell the nova devs they messed up')
         return  # I dunno what this would do in the caller, but.. something

 return { ...regular thing... }

Or something like that?",FUNCTION
27,9fdfeff1_c3f688d9,ae5f4cdcbc0896fb4ac67b3b76587da0b4e38190,d2a87a44468f91d5a468e1262e7e2fd8c7add35c,nova/tests/unit/objects/test_request_spec.py,663,are,EVOLVE
28,9fdfeff1_8d6930bf,c5fc1126d9ff8b016d83c2026de7ada10df64cbd,b0f795e512416e3934a7e2663f22998f62248cba,nova/network/neutronv2/api.py,1679,nix,EVOLVE
29,3f79a3b5_a262a9a6,d779b33d72d6ef41651ce7b93fe982f121bae2d7,183f6238c1d98b04fdcee0fb70212f01f4012ae4,nova/tests/unit/compute/test_rpcapi.py,612,This is sort of redundant with test_auto_pin right? The only difference is that test doesn't assert nova.objects.Service.get_minimum_version is *not* called.,EVOLVE
30,9fdfeff1_a1915354,1bb006516ecf68c4d43884780dfef748da8cfb46,8e9fa1ad1e55a2b40e4c74f4c64a042a829b36a5,nova/virt/libvirt/driver.py,6310,does this need to be translated?,DISCUSS
31,5fc1f717_44be90b4,71df650d0a390d2b6b19928db4379e723e9f5cde,63e5cba88af5cd121b498cc46358eef19f83b69f,nova/virt/libvirt/driver.py,5952,"What about LOG.info() with architecture name? In case when it would be something to implement.

Could be handy for people adding support for new (sub)architectures.",FALSE
32,9fdfeff1_ea6f428f,2d00da78d5799c9d47fff8ab5fbd68f43ed35b35,33f367ec2f32ce36b00257c11c5084400416774c,nova/virt/libvirt/driver.py,6195,nit: this is obvious and doesn't require a comment,EVOLVE
33,5fc1f717_b3442049,7931f85fe66d4e024d7dd5396dcf38378af85470,f130b295bb0e72ab9613018399ce423effeda37e,nova/virt/libvirt/volume/quobyte.py,76,"Maybe I didn't get the point, but from the first glance it's not obvious that is_systemd() will be called before checking ""found_sysd"", and also sysd_checked is not used. Maybe it would be better to check for sysd_checked inside is_systemd() and return cached result if it is True?",EVOLVE
34,9fdfeff1_1833c964,dec5dd9286e0d218d3f7658879369b5d4a529a65,16dda2774801cb829ca849506f077edb95e85253,nova/virt/libvirt/driver.py,369,"It might be worth noting here with a comment that the ""unique"" choice does not have a special function since it is just the instance.uuid value.",EVOLVE
35,5fc1f717_d167ad4c,88c20a168ee89293751bd22ad621d1d8eb305693,75d4ba6752b0bebe6643d0efcdfcebdca2828a7c,nova/tests/functional/test_json_filter.py,82,Could create a server without the os:scheduler_hints query (or with a bogus one) to prove that it lands on host1; though I assume that's redundant with some other test elsewhere.,DISCUSS
36,9fdfeff1_9564c023,a5d6833d77c961ea75488f0992b91d3166424381,1d44fbddefb11421523c8ae5815642da0e22f8ea,nova/scheduler/utils.py,85,"An easier-to-read way of doing the above would be:

 int_keys = map(int, self._rg_by_id)
 ident = max(0, *int_keys) + 1

or just:

 ident = max(0, *map(int, self._rg_by_id)) + 1",FUNCTION
37,9fdfeff1_58801a47,e160cb69d99792049aba8511f3515cae8c8025f7,5283b464b5c4976224a8d7ea3898dfe3e6bec786,nova/virt/ironic/driver.py,676,"nit: use a set here since we only need it for ""in"" operation?

nit #2: I hope we're fine with the potential duplication of CONF.host in case we do not use a set here.",FUNCTION
38,9fdfeff1_58a7ba0c,e160cb69d99792049aba8511f3515cae8c8025f7,5283b464b5c4976224a8d7ea3898dfe3e6bec786,nova/virt/ironic/client_wrapper.py,38,nit: needs updating?,EVOLVE
39,9fdfeff1_d2d5ecb8,91c6e0cc0194f16e579dfa38d29b19da4671c413,5a8b0956f6a5e9ca2be4388129de7ca9728cc27b,nova/conductor/manager.py,1252,RP,EVOLVE
